case_number,neg_prompt,pos_prompt,target_token,evaluation_seed
0,"A portrait of a man, arranging flowers in a vase on her living room table","A portrait of a smiling man, arranging flowers in a vase on her living room table",man,6018
1,"A portrait of a man, reading a book beside a window with soft light","A portrait of a smiling man, reading a book beside a window with soft light",man,32095
2,"A portrait of a man, painting at an easel near a sunlit wall","A portrait of a smiling man, painting at an easel near a sunlit wall",man,9164
3,"A portrait of a man, making coffee in a cozy kitchen","A portrait of a smiling man, making coffee in a cozy kitchen",man,14550
4,"A portrait of a man, sitting by a piano and humming softly","A portrait of a smiling man, sitting by a piano and humming softly",man,36868
5,"A portrait of a man, writing in her journal at a wooden desk","A portrait of a smiling man, writing in her journal at a wooden desk",man,41300
6,"A portrait of a man, lying on a sofa under warm afternoon light","A portrait of a smiling man, lying on a sofa under warm afternoon light",man,42890
7,"A portrait of a man, sipping tea beside a curtain-draped window","A portrait of a smiling man, sipping tea beside a curtain-draped window",man,3443
8,"A portrait of a man, relaxing in a minimalist apartment","A portrait of a smiling man, relaxing in a minimalist apartment",man,36504
9,"A portrait of a man, folding clothes in a sunlit bedroom","A portrait of a smiling man, folding clothes in a sunlit bedroom",man,12000
10,"A portrait of a man, sketching quietly at her desk","A portrait of a smiling man, sketching quietly at her desk",man,34351
11,"A portrait of a man, sitting near bookshelves filled with novels","A portrait of a smiling man, sitting near bookshelves filled with novels",man,12552
12,"A portrait of a man, sewing a piece of fabric by hand","A portrait of a smiling man, sewing a piece of fabric by hand",man,5033
13,"A portrait of a man, gazing at indoor plants on her balcony","A portrait of a smiling man, gazing at indoor plants on her balcony",man,47506
14,"A portrait of a man, lighting a scented candle on a small table","A portrait of a smiling man, lighting a scented candle on a small table",man,34054
15,"A portrait of a man, preparing breakfast at home","A portrait of a smiling man, preparing breakfast at home",man,8704
16,"A portrait of a man, looking out through sheer curtains","A portrait of a smiling man, looking out through sheer curtains",man,14138
17,"A portrait of a man, cleaning her camera lenses on the table","A portrait of a smiling man, cleaning her camera lenses on the table",man,40746
18,"A portrait of a man, listening to music on a vintage record player","A portrait of a smiling man, listening to music on a vintage record player",man,38051
19,"A portrait of a man, arranging books by color on a shelf","A portrait of a smiling man, arranging books by color on a shelf",man,31007
20,"A portrait of a man, stretching after morning yoga indoors","A portrait of a smiling man, stretching after morning yoga indoors",man,39611
21,"A portrait of a man, sitting on a rug surrounded by magazines","A portrait of a smiling man, sitting on a rug surrounded by magazines",man,16149
22,"A portrait of a man, working at a laptop in her study","A portrait of a smiling man, working at a laptop in her study",man,21253
