style,prompt,evaluation_seed
high contrast,A detailed high contrast image illustrating the serene lake with majestic lighting and tone.,22584
dreamy,"In dreamy style, a detailed shot of a mysterious autumn woodland surrounded by nature.",37646
monochrome,"In monochrome photography, a glowing depiction of the snowy meadow during twilight.",22545
wide-angle,A wide-angle photograph focusing on the ethereal interplay between light and the desert dunes.,39824
minimalist,"An artistic minimalist image showing a glowing view of the mountain range, taken at sunrise.",1781
cinematic,"A cinematic nature image of the mountain range, blending luminous light and composition.",39208
landscape,"A landscape landscape scene portraying a dramatic sunlit meadow, with cinematic composition.",7556
soft focus,"A cinematic soft focus photograph of the rocky canyon, under glowing evening light.",16786
telephoto,"A telephoto capture of a crisp tropical island, rendered in photorealistic lighting.",48005
minimalist composition,"A minimalist composition inspired photograph of the tropical island, composed with serene balance and detail.",7675
portrait,"A portrait inspired photograph of the misty jungle, composed with glowing balance and detail.",26644
natural lighting,"Captured in natural lighting style, the mountain range reveals its breathtaking charm through subtle lighting.",16615
muted colors,"In a muted colors mood, this image captures the ethereal serenity of the autumn woodland.",47859
street photography,"A street photography photography composition of the mountain range, highlighting its moody environment.",37598
high saturation,"A cinematic high saturation photograph of the sunlit meadow, under mysterious evening light.",26248
minimalist,"In minimalist photography, a dramatic depiction of the stormy sea during twilight.",4437
architectural,A architectural panoramic capture showing the vivid openness of the desert dunes.,48762
vintage,A vintage frame capturing crisp weather and mood around the snowy meadow.,20620
golden hour,"A golden hour fine-art photo illustrating the dense pine forest, subtle and softly lit.",43247
street photography,"A finely detailed street photography photograph of the autumn woodland, with luminous depth and perspective.",12974
cinematic,A cinematic frame capturing mist-covered weather and mood around the misty jungle.,24910
street photography,"A street photography capture of a radiant forest valley, rendered in photorealistic lighting.",23176
fisheye,"A carefully composed fisheye photo of the dense pine forest, filled with icy tones.",21581
muted colors,"A muted colors scenic capture portraying a tranquil snowy meadow, cinematic framing and tone.",23211
portrait,"A nature photo taken in portrait style, highlighting a glowing forest valley with soft shadows.",658
high contrast,"A carefully composed high contrast photo of the forest valley, filled with icy tones.",8990
dreamy,"A dreamy scenic capture portraying a crisp serene lake, cinematic framing and tone.",39502
architectural,"A architectural art photograph of the tropical island, with mist-covered framing and luminous tone.",12836
black-and-white,"A finely detailed black-and-white photograph of the city skyline, with mist-covered depth and perspective.",37020
natural lighting,"A carefully composed natural lighting photo of the tropical island, filled with dramatic tones.",14696
monochrome,"A monochrome capture of a mysterious sunlit meadow, rendered in photorealistic lighting.",15446
muted colors,A muted colors photograph of a desert dunes bathed in golden afternoon light and atmospheric tones.,24561
vintage,"A vintage photograph of a vivid desert dunes, emphasizing natural light and balanced tones.",742
portrait,An outdoor portrait photo portraying the coastal cliffs in ethereal natural tones.,12054
low light,"A low light inspired shot of the coral beach, emphasizing texture and glowing atmosphere.",18615
high contrast,"An artistic high contrast image showing a mist-covered view of the desert dunes, taken at sunrise.",27032
cinematic,A cinematic travel photo that captures the radiant essence of the dense pine forest.,32246
landscape,"In landscape fashion, the frozen river is shown in softly lit hues and natural gradients.",22636
portrait,"A portrait picture of the frozen river, taken from a high vantage point showing its radiant beauty.",7591
astrophotography,A detailed astrophotography image illustrating the forest valley with golden lighting and tone.,23660
neon lighting,"A neon lighting landscape scene of a autumn woodland beneath luminous clouds, 8k resolution realism.",10243
dreamy,"A finely detailed dreamy photograph of the serene lake, with melancholic depth and perspective.",1159
portrait,"A portrait image revealing the sun-drenched grandeur of the rolling hills, subtle yet powerful.",19204
low light,A low light creative landscape photograph featuring the softly lit beauty of the coral beach.,47675
golden hour,A golden hour panoramic capture showing the majestic openness of the frozen river.,43517
high contrast,"A high contrast exploration of the hidden waterfall, revealing sun-drenched forms and light gradients.",42409
film grain,"A film grain nature image of the city skyline, blending golden light and composition.",5014
fisheye,"In a fisheye mood, this image captures the tranquil serenity of the sunlit meadow.",22430
natural lighting,"In natural lighting fashion, the sunlit meadow is shown in golden hues and natural gradients.",46220
HDR,"A large-format HDR photo of a tranquil autumn woodland, realistic lighting and crisp detail.",9442
minimalist composition,"A minimalist composition inspired photograph of the desert dunes, composed with vivid balance and detail.",41124
infrared,"A infrared nature image of the mountain range, blending breathtaking light and composition.",11053
minimalist composition,"Captured in minimalist composition style, the desert dunes reveals its icy charm through subtle lighting.",38899
film grain,"A film grain landscape scene of a sunlit meadow beneath moody clouds, 8k resolution realism.",3859
fisheye,"A nature photo taken in fisheye style, highlighting a radiant ancient ruins with soft shadows.",29982
blue hour,"Captured in blue hour aesthetic, the frozen river appears sun-drenched against the horizon.",12337
architectural,"A architectural fine-art photo illustrating the hidden waterfall, subtle and mist-covered.",23360
telephoto,"A telephoto art photograph of the rolling hills, with icy framing and luminous tone.",38577
black-and-white,"A black-and-white photo of the hidden waterfall, rich in texture and shadowed atmosphere.",21196
documentary,"A documentary capture of a ethereal stormy sea, rendered in photorealistic lighting.",29760
golden hour,A golden hour creative landscape photograph featuring the vivid beauty of the forest valley.,35739
minimalist,"A minimalist photography composition of the city skyline, highlighting its luminous environment.",37842
wide-angle,A wide-angle scenic shot portraying serene mountains and the hidden waterfall in harmony.,28740
wide-angle,"In a wide-angle mood, this image captures the sun-drenched serenity of the desert dunes.",34698
natural lighting,"A natural lighting photography composition of the city skyline, highlighting its tranquil environment.",4243
landscape,"A landscape outdoor shot of a dense pine forest, featuring golden lighting and natural tones.",37820
product,"An evocative product landscape photograph of the rocky canyon, balanced and shadowed.",47333
high saturation,"A high saturation exploration of the coastal cliffs, revealing golden forms and light gradients.",42236
wide-angle,"In wide-angle photography, a majestic depiction of the stormy sea during twilight.",23436
high contrast,"A documentary-style high contrast image of the serene lake, deeply vivid and realistic.",41201
fisheye,"In fisheye photography, a icy depiction of the rocky canyon during twilight.",37588
muted colors,"A muted colors picture of the volcanic crater, taken from a high vantage point showing its mist-covered beauty.",17271
vintage,"In vintage style, a detailed shot of a softly lit city skyline surrounded by nature.",40851
vintage,A vintage frame capturing serene weather and mood around the snowy meadow.,21161
HDR,A detailed HDR image illustrating the volcanic crater with glowing lighting and tone.,10003
macro,"A macro image revealing the golden grandeur of the rocky canyon, subtle yet powerful.",9550
studio lighting,"A studio lighting scenic capture portraying a crisp ancient ruins, cinematic framing and tone.",28372
muted colors,"A muted colors picture of the volcanic crater, taken from a high vantage point showing its crisp beauty.",25851
surreal,"A surreal landscape taken with luminous precision, showing the autumn woodland in full glory.",12516
surreal,"A surreal picture of the stormy sea, taken from a high vantage point showing its crisp beauty.",19448
surreal,"A surreal photography composition of the forest valley, highlighting its mysterious environment.",42095
muted colors,"A muted colors image revealing the tranquil grandeur of the frozen river, subtle yet powerful.",48919
minimalist composition,"A cinematic minimalist composition photograph of the city skyline, under ethereal evening light.",23871
black-and-white,"A black-and-white inspired shot of the misty jungle, emphasizing texture and icy atmosphere.",25815
astrophotography,"A astrophotography visual study of the rolling hills, exploring its dramatic texture and lighting.",10457
infrared,"Captured in infrared style, the hidden waterfall reveals its vivid charm through subtle lighting.",26067
telephoto,"A telephoto photography piece showing the coral beach, filled with ethereal atmosphere.",48300
bokeh,"A finely detailed bokeh photograph of the autumn woodland, with vivid depth and perspective.",5611
dreamy,"A dreamy inspired photograph of the ancient ruins, composed with sun-drenched balance and detail.",16191
infrared,A infrared frame capturing dramatic weather and mood around the hidden waterfall.,15133
film grain,"In film grain fashion, the autumn woodland is shown in breathtaking hues and natural gradients.",19767
HDR,A HDR scenic shot portraying shadowed mountains and the city skyline in harmony.,6849
high saturation,"A finely detailed high saturation photograph of the sunlit meadow, with breathtaking depth and perspective.",32813
natural lighting,A natural lighting creative landscape photograph featuring the icy beauty of the hidden waterfall.,49130
documentary,"A documentary photography piece showing the rolling hills, filled with crisp atmosphere.",16246
telephoto,A telephoto photograph of a autumn woodland bathed in moody afternoon light and atmospheric tones.,17469
natural lighting,A natural lighting photograph focusing on the ethereal interplay between light and the ancient ruins.,19933
fisheye,A fisheye travel photo that captures the melancholic essence of the volcanic crater.,412
long exposure,"A long exposure photo of the mountain range, rich in texture and serene atmosphere.",33731
underexposed,"A underexposed picture of the serene lake, taken from a high vantage point showing its moody beauty.",13912
macro,"In macro photography, a tranquil depiction of the autumn woodland during twilight.",36467
blue hour,A blue hour photograph of a sunlit meadow bathed in serene afternoon light and atmospheric tones.,18264
minimalist,A minimalist photo highlighting the golden emotion of nature seen in the coastal cliffs.,11420
surreal,"An artistic surreal image showing a sun-drenched view of the mountain range, taken at sunrise.",44624
monochrome,"A monochrome landscape taken with softly lit precision, showing the ancient ruins in full glory.",6967
vintage,A vintage creative landscape photograph featuring the radiant beauty of the stormy sea.,36221
golden hour,"A golden hour inspired photograph of the desert dunes, composed with softly lit balance and detail.",38904
high saturation,"A high saturation landscape taken with glowing precision, showing the rocky canyon in full glory.",25604
